Accession,Length,Nuc_Completeness,Geo_Location
MW191087,29782,complete,USA: CA
MW191088,29782,complete,USA: CA
MW191089,29782,complete,USA: CA
MW191090,29782,complete,USA: CA
MW191091,29782,complete,USA: CA
MW191092,29782,complete,USA: CA
MW191093,29782,complete,USA: CA
MW191094,29782,complete,USA: CA
MW191095,29782,complete,USA: CA
MW191096,29782,complete,USA: CA
MW191097,29782,complete,USA: CA
MW191098,29782,complete,USA: CA
MW191099,29782,complete,USA: CA
MW191100,29782,partial,USA: CA
MW191101,29782,complete,USA: CA
MW191102,29782,complete,USA: CA
MW191103,29782,complete,USA: CA
MW191104,29782,complete,USA: CA
MW191105,29782,complete,USA: CA
MW191106,29782,complete,USA: CA
MW191107,29782,complete,USA: CA
MW191108,29782,complete,USA: CA
MW191109,29782,complete,USA: CA
MW191110,29782,complete,USA: CA
MW191111,29782,complete,USA: CA
MW191112,29782,complete,USA: CA
MW191113,29782,complete,USA: CA
MW191114,29779,complete,USA: CA
MW191115,29782,complete,USA: CA
MW191116,29782,complete,USA: CA
MW191117,29782,complete,USA: CA
MW191118,29782,complete,USA: CA
MW191119,29782,complete,USA: CO
MW191120,29782,complete,USA: CO
MW191121,29782,complete,USA: CO
MW191122,29782,complete,USA: CO
MW191123,29782,complete,USA: CO
MW191124,29782,complete,USA: CO
MW191125,29782,complete,USA: CO
MW191126,29782,complete,USA: CO
MW191127,29782,complete,USA: GA
MW191128,29782,complete,USA: GA
MW191129,29782,complete,USA: GA
MW191130,29782,complete,USA: GA
MW191131,29782,partial,USA: GA
MW191132,29782,complete,USA: GA
MW191133,29782,partial,USA: GA
MW191134,29782,complete,USA: MI
MW191135,29782,complete,USA: MI
MW191136,29782,complete,USA: MI
MW191137,29782,complete,USA: MI
MW191138,29782,complete,USA: NJ
MW191139,29782,complete,USA: NJ
MW191140,29782,complete,USA: NY
MW191141,29773,complete,USA: NY
MW191142,29782,complete,USA: NY
MW191143,29782,complete,USA: NY
MW191144,29782,complete,USA: NY
MW191145,29782,complete,USA: NY
MW191146,29782,complete,USA: NY
MW191147,29782,complete,USA: NY
MW191148,29782,complete,USA: NY
MW191149,29779,complete,USA: NY
MW191150,29782,complete,USA: NY
MW191151,29782,complete,USA: NY
MW191152,29782,complete,USA: NY
MW191153,29782,complete,USA: OH
MW191154,29782,complete,USA: PR
MW191155,29782,complete,USA: TX
MW191156,29782,complete,USA: TX
MW191157,29782,complete,USA: UT
MW191158,29782,complete,USA: UT
MW191159,29782,complete,USA: UT
MW191160,29782,complete,USA: UT
MW191161,29782,complete,USA: UT
MW191162,29782,partial,USA: UT
MW191163,29782,complete,USA: UT
MW191164,29773,complete,USA: UT
MW191165,29782,complete,USA: UT
MW191166,29782,complete,USA: UT
MW191167,29782,complete,USA: WA
MW191168,29782,complete,USA: WA
MW191169,29782,complete,USA: WA
MW191170,29782,complete,USA: WA
MW191171,29782,complete,USA: WA
MW191172,29782,complete,USA: WA
MW191173,29782,complete,USA: WI
MW191174,29782,complete,USA: AR
MW191175,29782,complete,USA: AZ
MW191176,29782,complete,USA: AZ
MW191177,29782,complete,USA: AZ
MW191178,29782,complete,USA: CA
MW191179,29782,complete,USA: CA
MW191180,29782,complete,USA: CA
MW191181,29782,complete,USA: CA
MW191182,29782,complete,USA: CA
MW191183,29782,complete,USA: CA
MW191184,29782,complete,USA: CA
MW191185,29782,complete,USA: CA
MW191186,29782,complete,USA: CA
MW191187,29782,complete,USA: CA
MW191188,29782,complete,USA: CA
MW191189,29782,complete,USA: CA
MW191190,29782,complete,USA: CA
MW191191,29782,complete,USA: CA
MW191192,29782,complete,USA: CA
MW191193,29782,complete,USA: CA
MW191194,29782,complete,USA: CA
MW191195,29782,complete,USA: CA
MW191196,29782,complete,USA: CA
MW191197,29782,complete,USA: CA
MW191198,29782,complete,USA: CA
MW191199,29782,complete,USA: CA
MW191200,29782,complete,USA: CA
MW191201,29782,complete,USA: CA
MW191202,29782,complete,USA: CA
MW191203,29782,complete,USA: CA
MW191204,29773,complete,USA: CA
MW191205,29782,complete,USA: CA
MW191206,29782,complete,USA: CA
MW191207,29782,complete,USA: CA
MW191208,29782,complete,USA: FL
MW191209,29773,complete,USA: FL
MW191210,29782,complete,USA: FL
MW191211,29782,complete,USA: FL
MW191212,29782,complete,USA: GA
MW191213,29782,complete,USA: GA
MW191214,29782,complete,USA: GA
MW191215,29782,complete,USA: GA
MW191216,29779,complete,USA: GA
MW191217,29782,complete,USA: GA
MW191218,29782,complete,USA: MA
MW191219,29782,complete,USA: MO
MW191220,29782,complete,USA: MO
MW191221,29782,complete,USA: NJ
MW191222,29782,complete,USA: NJ
MW191223,29782,complete,USA: NJ
MW191224,29782,complete,USA: NJ
MW191225,29782,complete,USA: NJ
MW191226,29782,complete,USA: NJ
MW191227,29782,complete,USA: NJ
MW191228,29782,complete,USA: NM
MW191229,29782,complete,USA: NY
MW191230,29782,complete,USA: NY
MW191231,29782,complete,USA: NY
MW191232,29773,complete,USA: NY
MW191233,29782,complete,USA: NY
MW191234,29782,complete,USA: NY
MW191235,29782,complete,USA: NY
MW191236,29782,complete,USA: NY
MW191237,29782,complete,USA: NY
MW191238,29782,complete,USA: NY
MW191239,29782,complete,USA: NY
MW191240,29782,complete,USA: NY
MW191241,29782,complete,USA: NY
MW191242,29773,complete,USA: NY
MW191243,29782,complete,USA: NY
MW191244,29782,complete,USA: NY
MW191245,29782,complete,USA: NY
MW191246,29782,complete,USA: NY
MW191247,29782,complete,USA: NY
MW191248,29782,complete,USA: NY
MW191249,29773,complete,USA: NY
MW191250,29782,complete,USA: NY
MW191251,29782,complete,USA: NY
MW191252,29782,complete,USA: NY
MW191253,29782,complete,USA: NY
MW191254,29782,partial,USA: NY
MW191255,29782,complete,USA: NY
MW191256,29782,complete,USA: NY
MW191257,29782,complete,USA: NY
MW191258,29782,complete,USA: NY
MW191259,29782,complete,USA: NY
MW191260,29782,complete,USA: NY
MW191261,29782,complete,USA: NY
MW191262,29782,complete,USA: NY
MW191263,29782,complete,USA: NY
MW191264,29782,complete,USA: NY
MW191265,29782,complete,USA: NY
MW191266,29782,complete,USA: NY
MW191267,29782,complete,USA: NY
MW191268,29773,complete,USA: NY
MW191269,29782,complete,USA: NY
MW191270,29782,complete,USA: PA
MW191271,29782,complete,USA: PA
MW191272,29782,complete,USA: PA
MW191273,29782,complete,USA: PA
MW191274,29782,complete,USA: PA
MW191275,29782,complete,USA: PA
MW191276,29782,complete,USA: SC
MW191277,29782,complete,USA: TN
MW191278,29785,complete,USA: TX
MW191279,29782,complete,USA: UT
MW191280,29782,complete,USA: UT
MW191281,29782,complete,USA: UT
MW191282,29782,complete,USA: UT
MW191283,29782,complete,USA: UT
MW191284,29782,complete,USA: UT
MW191285,29782,complete,USA: UT
MW191286,29782,complete,USA: UT
MW191287,29782,complete,USA: UT
MW191288,29773,complete,USA: UT
MW191289,29782,complete,USA: UT
MW191290,29782,complete,USA: UT
MW191291,29782,partial,USA: UT
MW191292,29782,complete,USA: UT
MW191293,29782,complete,USA: UT
MW191294,29782,complete,USA: UT
MW191295,29782,complete,USA: UT
MW191296,29779,complete,USA: UT
MW191297,29782,complete,USA: UT
MW191298,29773,complete,USA: UT
MW191299,29782,complete,USA: UT
MW191300,29782,complete,USA: UT
MW191301,29782,complete,USA: UT
MW191302,29773,complete,USA: UT
MW191303,29782,complete,USA: WA
MW191304,29782,complete,USA: WA
MW191305,29782,complete,USA: WA
MW191306,29782,complete,USA: WA
MW191307,29782,complete,USA: WA
MW191308,29782,complete,USA: AZ
MW191309,29782,complete,USA: CA
MW191310,29782,complete,USA: CA
MW191311,29782,complete,USA: CA
MW191312,29782,complete,USA: CA
MW191313,29782,complete,USA: CA
MW191314,29782,complete,USA: CA
MW191315,29782,complete,USA: CA
MW191316,29782,complete,USA: CA
MW191317,29782,complete,USA: CA
MW191318,29782,complete,USA: CA
MW191319,29782,complete,USA: CA
MW191320,29782,complete,USA: CA
MW191321,29782,complete,USA: CA
MW191322,29782,complete,USA: CA
MW191323,29782,complete,USA: CA
MW191324,29782,complete,USA: CA
MW191325,29782,complete,USA: CA
MW191326,29782,complete,USA: CA
MW191327,29782,complete,USA: CA
MW191328,29782,complete,USA: CA
MW191329,29782,complete,USA: CA
MW191330,29785,complete,USA: CA
MW191331,29782,complete,USA: CA
MW191332,29782,complete,USA: CA
MW191333,29782,complete,USA: CA
MW191334,29782,complete,USA: CA
MW191335,29782,complete,USA: CA
MW191336,29782,complete,USA: CA
MW191337,29782,complete,USA: CA
MW191338,29782,complete,USA: CA
MW191339,29782,complete,USA: CA
MW191340,29782,complete,USA: CA
MW191341,29782,complete,USA: CA
MW191342,29782,complete,USA: CA
MW191343,29782,complete,USA: CA
MW191344,29782,complete,USA: CA
MW191345,29782,complete,USA: CA
MW191346,29782,complete,USA: CA
MW191347,29782,complete,USA: CA
MW191348,29782,complete,USA: CA
MW191349,29782,complete,USA: CA
MW191350,29782,complete,USA: CA
MW191351,29782,complete,USA: CA
MW191352,29782,complete,USA: CA
MW191353,29782,complete,USA: CA
MW191354,29782,complete,USA: CT
MW191355,29782,complete,USA: CT
MW191356,29761,complete,USA: FL
MW191357,29782,complete,USA: FL
MW191358,29782,complete,USA: FL
MW191359,29782,complete,USA: FL
MW191360,29782,complete,USA: FL
MW191361,29782,complete,USA: FL
MW191362,29782,complete,USA: FL
MW191363,29776,complete,USA: FL
MW191364,29782,complete,USA: FL
MW191365,29782,complete,USA: FL
MW191366,29782,complete,USA: GA
MW191367,29782,complete,USA: IL
MW191368,29782,complete,USA: IL
MW191369,29761,complete,USA: IN
MW191370,29779,complete,USA: IN
MW191371,29782,complete,USA: LA
MW191372,29782,complete,USA: MN
MW191373,29782,complete,USA: MN
MW191374,29782,complete,USA: MO
MW191375,29779,complete,USA: MO
MW191376,29782,complete,USA: MO
MW191377,29782,complete,USA: MO
MW191378,29782,complete,USA: MO
MW191379,29782,complete,USA: MO
MW191380,29779,complete,USA: MO
MW191381,29782,complete,USA: MO
MW191382,29782,complete,USA: MO
MW191383,29782,complete,USA: MO
MW191384,29782,complete,USA: MO
MW191385,29782,complete,USA: NV
MW191386,29782,complete,USA: NV
MW191387,29782,complete,USA: NV
MW191388,29782,complete,USA: NV
MW191389,29782,complete,USA: NV
MW191390,29782,complete,USA: NY
MW191391,29782,complete,USA: NY
MW191392,29782,complete,USA: NY
MW191393,29782,complete,USA: NY
MW191394,29782,complete,USA: OH
MW191395,29782,complete,USA: PA
MW191396,29782,complete,USA: UT
MW191397,29782,complete,USA: UT
MW191398,29782,complete,USA: UT
MW191399,29782,complete,USA: UT
MW191400,29785,complete,USA: UT
MW191401,29782,complete,USA: UT
MW191402,29782,complete,USA: UT
MW191403,29782,complete,USA: UT
MW191404,29782,complete,USA: UT
MW191405,29782,complete,USA: UT
MW191406,29782,complete,USA: UT
MW191407,29782,complete,USA: UT
MW191408,29782,complete,USA: UT
MW191409,29782,complete,USA: UT
MW191410,29782,complete,USA: UT
MW191411,29782,complete,USA: UT
MW191412,29782,complete,USA: UT
MW191413,29782,complete,USA: UT
MW191414,29782,complete,USA: UT
MW191415,29782,complete,USA: UT
MW191416,29782,complete,USA: UT
MW191417,29782,complete,USA: UT
MW191418,29782,complete,USA: UT
MW191419,29782,complete,USA: UT
MW191420,29782,complete,USA: UT
MW191421,29782,complete,USA: UT
MW191422,29782,complete,USA: UT
MW191423,29782,complete,USA: UT
MW191424,29782,complete,USA: UT
MW191425,29782,complete,USA: UT
MW191426,29782,complete,USA: UT
MW191427,29782,complete,USA: WI
MW191428,29782,complete,USA: CA
MW191429,29782,complete,USA: CA
MW191430,29782,complete,USA: CA
MW191431,29782,complete,USA: CA
MW191432,29782,complete,USA: CA
MW191433,29782,complete,USA: CA
MW191434,29782,complete,USA: CA
MW191435,29782,complete,USA: CA
MW191436,29782,complete,USA: CA
MW191437,29782,complete,USA: CA
MW191438,29782,complete,USA: CA
MW191439,29782,complete,USA: CA
MW191440,29782,complete,USA: CA
MW191441,29782,complete,USA: CA
MW191442,29782,complete,USA: CA
MW191443,29782,complete,USA: CA
MW191444,29782,complete,USA: CA
MW191445,29782,complete,USA: CA
MW191446,29782,complete,USA: CA
MW191447,29782,complete,USA: CA
MW191448,29782,complete,USA: CA
MW191449,29782,complete,USA: CA
MW191450,29782,complete,USA: CA
MW191451,29782,partial,USA: CA
MW191452,29782,complete,USA: CA
MW191453,29782,complete,USA: CA
MW191454,29782,complete,USA: CA
MW191455,29782,complete,USA: CA
MW191456,29782,complete,USA: CA
MW191457,29782,complete,USA: CA
MW191458,29782,complete,USA: CT
MW191459,29782,complete,USA: MA
MW191460,29782,complete,USA: MA
MW191461,29782,complete,USA: MN
MW191462,29782,complete,USA: MN
MW191463,29782,complete,USA: MN
MW191464,29782,complete,USA: MN
MW191465,29782,complete,USA: MN
MW191466,29776,complete,USA: MN
MW191467,29782,complete,USA: MN
MW191468,29782,complete,USA: MN
MW191469,29782,complete,USA: MN
MW191470,29782,complete,USA: MN
MW191471,29782,complete,USA: MN
MW191472,29782,complete,USA: NV
MW191473,29782,complete,USA: NY
MW191474,29782,complete,USA: NY
MW191475,29782,complete,USA: NY
MW191476,29773,complete,USA: NY
MW191477,29782,complete,USA: NY
MW191478,29782,complete,USA: NY
MW191479,29782,complete,USA: NY
MW191480,29782,complete,USA: NY
MW191481,29782,complete,USA: NY
MW191482,29782,complete,USA: NY
MW191483,29782,complete,USA: NY
MW191484,29782,complete,USA: NY
MW191485,29782,complete,USA: NY
MW191486,29782,complete,USA: NY
MW191487,29782,complete,USA: NY
MW191488,29782,complete,USA: NY
MW191489,29782,complete,USA: NY
MW191490,29782,complete,USA: NY
MW191491,29782,complete,USA: NY
MW191492,29782,complete,USA: TN
MW191497,29791,partial,India
MW191498,29635,partial,India
MW191499,29820,partial,India
MW191500,29812,partial,India
MW191501,29798,complete,India
MW191502,29791,partial,India
MW191503,29800,partial,India
MW191504,29801,partial,India
MW191505,29839,partial,India
MW191506,29791,partial,India
MW191507,29847,partial,India
MW191508,29813,partial,India
MW191509,29816,complete,India
MW191510,29812,complete,India
MW191511,29799,complete,India
MW191512,29837,complete,India
MW192063,29855,complete,USA: Minnesota
MW192064,29823,complete,USA: Minnesota
MW192065,29852,complete,USA: Minnesota
MW192066,29810,complete,USA: Minnesota
MW192067,29816,complete,USA: Minnesota
MW192068,29851,complete,USA: Minnesota
MW192069,29852,complete,USA: Minnesota
MW192070,29829,complete,USA: Minnesota
MW192071,29850,complete,USA: Minnesota
MW192072,29856,complete,USA: Minnesota
MW192073,29853,complete,USA: Minnesota
MW192074,29819,complete,USA: Minnesota
MW192075,29851,complete,USA: Minnesota
MW192076,29827,complete,USA: Minnesota
MW192077,29823,complete,USA: Minnesota
MW192078,29830,complete,USA: Minnesota
MW192079,29862,complete,USA: Minnesota
MW192080,29870,complete,USA: Minnesota
MW192081,29822,complete,USA: Minnesota
MW192082,29823,complete,USA: Minnesota
MW192083,29817,complete,USA: Minnesota
MW192084,29824,complete,USA: Minnesota
MW192085,29834,complete,USA: Minnesota
MW192086,29845,complete,USA: Minnesota
MW192087,29820,complete,USA: Minnesota
MW192088,29822,complete,USA: Minnesota
MW192089,29819,complete,USA: Minnesota
MW192090,29825,complete,USA: Minnesota
MW192091,29822,complete,USA: Minnesota
MW192092,29858,complete,USA: Minnesota
MW192093,29825,complete,USA: Minnesota
MW192094,29836,complete,USA: Minnesota
MW192095,29818,complete,USA: Minnesota
MW192096,29819,complete,USA: Minnesota
MW192097,29835,complete,USA: Minnesota
MW192098,29859,complete,USA: Minnesota
MW192099,29819,complete,USA: Minnesota
MW192100,29861,complete,USA: Minnesota
MW192101,29839,complete,USA: Minnesota
MW192102,29816,complete,USA: Minnesota
MW192103,29826,complete,USA: Minnesota
MW192104,29854,complete,USA: Minnesota
MW192105,29862,complete,USA: Minnesota
MW192106,29826,complete,USA: Minnesota
MW192107,29822,complete,USA: Minnesota
MW192108,29856,complete,USA: Minnesota
MW192109,29842,complete,USA: Minnesota
MW192110,29844,complete,USA: Minnesota
MW192111,29840,complete,USA: Minnesota
MW192112,29853,complete,USA: Minnesota
MW192113,29816,complete,USA: Minnesota
MW192114,29819,complete,USA: Minnesota
MW192115,29823,complete,USA: Minnesota
MW192116,29824,complete,USA: Minnesota
MW192117,29826,complete,USA: Minnesota
MW192118,29823,complete,USA: Minnesota
MW192119,29854,complete,USA: Minnesota
MW192120,29816,complete,USA: Minnesota
MW192121,29819,complete,USA: Minnesota
MW192122,29826,complete,USA: Minnesota
MW192123,29835,complete,USA: Minnesota
MW192124,29821,complete,USA: Minnesota
MW192125,29833,complete,USA: Minnesota
MW192126,29841,complete,USA: Minnesota
MW192127,29815,complete,USA: Minnesota
MW192766,29800,complete,Australia: Victoria
MW192771,29800,complete,Australia: Victoria
MW192772,29800,complete,Australia: Victoria
MW186669,29855,complete,Egypt
MW186829,29807,partial,Egypt
MW186830,29808,partial,Egypt
MW181431,29900,partial,USA
MW181432,29883,partial,USA
MW181433,29899,partial,USA
MW181434,29863,complete,USA
MW181435,29813,partial,USA
MW181436,29803,partial,USA
MW181437,29867,partial,USA
MW181438,29835,partial,USA
MW181439,29733,partial,USA: Utah
MW181440,29797,partial,USA: Utah
MW181441,29891,partial,USA: Utah
MW181442,29864,complete,USA: Utah
MW181443,29865,partial,USA: Utah
MW181444,29868,partial,USA: Utah
MW181445,29867,partial,USA: Utah
MW181446,29865,partial,USA: Utah
MW181447,29787,partial,USA: Utah
MW181448,29743,partial,USA: Utah
MW181449,29788,partial,USA: Utah
MW181450,29838,partial,USA: Utah
MW181451,29581,partial,USA: Utah
MW181452,29860,partial,USA: Utah
MW181453,29865,partial,USA: Utah
MW181454,29838,partial,USA: Utah
MW181455,29903,partial,USA: Utah
MW181456,29278,partial,USA: Utah
MW181457,29865,partial,USA: Utah
MW181458,29865,partial,USA: Utah
MW181459,29903,complete,USA: Utah
MW181460,29872,partial,USA: Utah
MW181461,29787,partial,USA: Utah
MW181462,29819,partial,USA: Utah
MW181463,29581,partial,USA: Utah
MW181464,29838,partial,USA: Utah
MW181465,29865,partial,USA: Utah
MW181466,29899,complete,USA: Utah
MW181467,29865,partial,USA: Utah
MW181468,29865,partial,USA: Utah
MW181469,29900,partial,USA: Utah
MW181470,29865,partial,USA: Utah
MW181471,29865,partial,USA: Utah
MW181472,29893,partial,USA: Utah
MW181473,29893,complete,USA: Utah
MW181474,29840,complete,USA: Utah
MW181475,29229,partial,USA: Utah
MW181476,29813,partial,USA: Utah
MW181477,29865,partial,USA: Utah
MW181478,29789,partial,USA: Utah
MW181479,29887,partial,USA: Utah
MW181480,29865,partial,USA: Utah
MW181481,29815,partial,USA: Utah
MW181482,29865,partial,USA: Utah
MW181483,29865,partial,USA: Utah
MW181484,29897,partial,USA: Utah
MW181485,29788,partial,USA: Utah
MW181486,29622,partial,USA: Utah
MW181487,29885,partial,USA: Utah
MW181488,29865,partial,USA: Utah
MW181489,29903,partial,USA: Utah
MW181490,29611,partial,USA: Utah
MW181491,29837,partial,USA: Utah
MW181492,29899,partial,USA: Utah
MW181493,29729,partial,USA: Utah
MW181494,29832,partial,USA: Utah
MW181495,29801,partial,USA: Utah
MW181496,29865,partial,USA: Utah
MW181497,29865,partial,USA: Utah
MW181498,29865,partial,USA: Utah
MW181499,29865,partial,USA: Utah
MW181500,29903,complete,USA: Utah
MW181501,29743,partial,USA: Utah
MW181502,29846,partial,USA: Utah
MW181503,29892,partial,USA: Utah
MW181504,29848,partial,USA: Utah
MW181505,29865,complete,USA: Utah
MW181506,29868,partial,USA: Utah
MW181507,29865,partial,USA: Utah
MW181508,29892,partial,USA: Utah
MW181509,29892,partial,USA: Utah
MW181510,29886,partial,USA: Utah
MW181511,29803,partial,USA: Utah
MW181512,29626,partial,USA: Utah
MW181513,29865,partial,USA: Utah
MW181514,29843,partial,USA: Utah
MW181515,29205,partial,USA: Utah
MW181516,29838,partial,USA: Utah
MW181517,29865,partial,USA: Utah
MW181518,29903,complete,USA: Utah
MW181519,29838,partial,USA: Utah
MW181520,29901,complete,USA: Utah
MW181521,29899,partial,USA: Utah
MW181522,29865,partial,USA: Utah
MW181523,28627,partial,USA: Utah
MW181524,29899,partial,USA: Utah
MW181525,29787,partial,USA: Utah
MW181526,29839,complete,USA: Utah
MW181527,29865,partial,USA: Utah
MW181528,29816,partial,USA: Utah
MW181529,29838,complete,USA: Utah
MW181530,29864,partial,USA: Utah
MW181531,29867,partial,USA: Utah
MW181532,29873,partial,USA: Utah
MW181533,29903,partial,USA: Utah
MW181534,29648,partial,USA: Utah
MW181535,29843,partial,USA: Utah
MW181536,29279,partial,USA: Utah
MW181537,29903,complete,USA: Utah
MW181538,29834,partial,USA: Utah
MW181539,29865,partial,USA: Utah
MW181540,29901,partial,USA: Utah
MW181541,29696,partial,USA: Utah
MW181542,29783,partial,USA: Utah
MW181543,29816,partial,USA: Utah
MW181544,29865,partial,USA: Utah
MW181545,29789,partial,USA: Utah
MW181546,29839,partial,USA: Utah
MW181547,29865,partial,USA: Utah
MW181548,29865,partial,USA: Utah
MW181549,29844,complete,USA: Utah
MW181550,29274,partial,USA: Utah
MW181551,29834,partial,USA: Utah
MW181552,29815,partial,USA: Utah
MW181553,29899,partial,USA: Utah
MW181554,29812,partial,USA: Utah
MW181555,29847,partial,USA: Utah
MW181556,29865,partial,USA: Utah
MW181557,29865,partial,USA: Utah
MW181558,29865,partial,USA: Utah
MW181559,29606,partial,USA: Utah
MW181560,29865,partial,USA: Utah
MW181561,29644,partial,USA: Utah
MW181562,29901,complete,USA: Utah
MW181563,29903,partial,USA: Utah
MW181564,29864,partial,USA: Utah
MW181565,29903,complete,USA: Utah
MW181566,29842,complete,USA: Utah
MW181567,29872,partial,USA: Utah
MW181568,29835,partial,USA: Utah
MW181569,29893,partial,USA: Utah
MW181570,29901,partial,USA: Utah
MW181571,29865,partial,USA: Utah
MW181572,29816,partial,USA: Utah
MW181573,29788,partial,USA: Utah
MW181574,29837,complete,USA: MD
MW181575,29853,complete,USA: MD
MW181576,29833,complete,USA: MD
MW181577,29827,complete,USA: MD
MW181578,29832,complete,USA: MD
MW181579,29819,complete,USA: MD
MW181580,29823,complete,USA: MD
MW181581,29815,complete,USA: MD
MW181582,29828,complete,USA: MD
MW181583,29828,complete,USA: MD
MW181584,29822,complete,USA: MD
MW181585,29855,complete,USA: MD
MW181586,29858,complete,USA: MD
MW181587,29861,complete,USA: MD
MW181588,29823,complete,USA: MD
MW181589,29860,complete,USA: MD
MW181590,29837,complete,USA: MD
MW181591,29815,complete,USA: MD
MW181592,29807,complete,USA: MD
MW181593,29848,complete,USA: MD
MW181621,29782,complete,USA
MW181771,29782,complete,USA
MW181772,29782,complete,USA
MW181773,29782,complete,USA
MW181790,29786,partial,India
MW181791,29777,partial,India
MW181792,29813,partial,India
MW181793,29790,partial,India
MW181794,29798,partial,India
MW181795,29347,partial,India
MW181796,29813,partial,India
MW181797,29813,complete,India
MW181798,29789,partial,India
MW181799,29784,partial,India
MW181800,29616,partial,India
MW181801,29815,partial,India
MW181802,28718,partial,India
MW181803,29836,complete,India
MW181804,29814,complete,India
MW181805,29832,complete,India
MW181806,29812,complete,India
MW181807,29841,complete,India
MW181808,29819,partial,India
MW181809,29827,partial,India
MW181810,29836,partial,India
MW181811,29837,complete,India
MW181812,29790,partial,India
MW181813,29812,partial,India
MW181814,29839,complete,India
MW181815,29851,partial,India
MW181816,29837,partial,India
MW181817,29836,partial,India
MW181818,29814,partial,India
MW181819,29792,partial,India
MW181820,29836,partial,India
MW181821,29814,partial,India
MW181822,29796,partial,India
MW181823,29815,partial,India
MW181824,29784,partial,India
MW181825,29836,partial,India
MW181826,29826,partial,India
MW181827,29793,partial,India
MW181828,29798,complete,India
MW181829,29813,complete,India
MW181830,29301,partial,India
MW181831,29839,complete,India
MW181832,29792,complete,India
MW181833,29840,complete,India
MW181834,29817,complete,India
MW181835,29795,complete,India
MW181836,29791,partial,India
MW181837,29839,complete,India
MW181838,29796,complete,India
MW181839,29834,complete,India
MW181840,29843,complete,India
MW181841,29808,partial,India
MW181842,29794,partial,India
MW181843,29798,complete,India
MW181844,29797,complete,India
MW181845,29815,complete,India
MW181846,29814,complete,India
MW181847,29810,complete,India
MW181848,29815,complete,India
MW183931,29800,complete,Australia: Victoria
MW183932,29789,complete,Australia: Victoria
MW183933,29794,partial,Australia: Victoria
MW183934,29814,complete,Australia: Victoria
MW183935,29839,complete,Australia: Victoria
MW183936,29852,complete,Australia: Victoria
MW183937,29787,partial,Australia: Victoria
MW183938,29815,complete,Australia: Victoria
MW183939,29842,complete,Australia: Victoria
MW183940,29797,partial,Australia: Victoria
MW183941,29815,complete,Australia: Victoria
MW183942,29818,complete,Australia: Victoria
MW183943,29816,complete,Australia: Victoria
MW183944,29813,complete,Australia: Victoria
MW183945,29843,complete,Australia: Victoria
MW183946,29851,complete,Australia: Victoria
MW183947,29815,complete,Australia: Victoria
MW183948,29813,partial,Australia: Victoria
MW183949,29802,complete,Australia: Victoria
MW183950,29714,partial,Australia: Victoria
MW183951,29809,complete,Australia: Victoria
MW183952,29813,complete,Australia: Victoria
MW183953,29806,complete,Australia: Victoria
MW183954,29791,partial,Australia: Victoria
MW183955,29800,partial,Australia: Victoria
MW183956,29812,complete,Australia: Victoria
MW183957,29817,complete,Australia: Victoria
MW183958,29799,partial,Australia: Victoria
MW183959,29850,complete,Australia: Victoria
MW183960,29804,complete,Australia: Victoria
MW183961,29831,complete,Australia: Victoria
MW183962,29804,complete,Australia: Victoria
MW183963,29829,complete,Australia: Victoria
MW183964,29815,complete,Australia: Victoria
MW183965,29809,complete,Australia: Victoria
MW183966,29830,complete,Australia: Victoria
MW183967,29804,partial,Australia: Victoria
MW183968,29800,partial,Australia: Victoria
MW183969,29841,complete,Australia: Victoria
MW183970,29805,complete,Australia: Victoria
MW183971,29833,complete,Australia: Victoria
MW183972,29813,complete,Australia: Victoria
MW183973,29799,partial,Australia: Victoria
MW183974,29797,partial,Australia: Victoria
MW183975,29832,complete,Australia: Victoria
MW183976,29813,complete,Australia: Victoria
MW183977,29803,complete,Australia: Victoria
MW183978,29813,complete,Australia: Victoria
MW183979,29842,partial,Australia: Victoria
MW183980,29804,complete,Australia: Victoria
MW183981,29812,complete,Australia: Victoria
MW183982,29815,complete,Australia: Victoria
MW183983,29820,complete,Australia: Victoria
MW183984,29813,complete,Australia: Victoria
MW183985,29821,complete,Australia: Victoria
MW183986,29832,complete,Australia: Victoria
MW183987,29816,complete,Australia: Victoria
MW183988,29807,complete,Australia: Victoria
MW183989,29802,complete,Australia: Victoria
MW183990,29790,complete,Australia: Victoria
MW183991,29797,partial,Australia: Victoria
MW183992,29803,complete,Australia: Victoria
MW183993,29767,partial,Australia: Victoria
MW183994,29815,complete,Australia: Victoria
MW183995,29789,complete,Australia: Victoria
MW183996,29806,complete,Australia: Victoria
MW183997,29812,complete,Australia: Victoria
MW183998,29815,complete,Australia: Victoria
MW183999,29815,complete,Australia: Victoria
MW184000,29839,complete,Australia: Victoria
MW184001,29818,complete,Australia: Victoria
MW184002,29845,complete,Australia: Victoria
MW184003,29836,complete,Australia: Victoria
MW184004,29802,complete,Australia: Victoria
MW184005,29799,complete,Australia: Victoria
MW184006,29777,partial,Australia: Victoria
MW184007,29825,complete,Australia: Victoria
MW184008,29783,partial,Australia: Victoria
MW184009,29812,complete,Australia: Victoria
MW184010,29819,complete,Australia: Victoria
MW184011,29797,partial,Australia: Victoria
MW184012,29789,partial,Australia: Victoria
MW184013,29813,complete,Australia: Victoria
MW184014,29804,complete,Australia: Victoria
MW184015,29810,complete,Australia: Victoria
MW184016,29813,complete,Australia: Victoria
MW184017,29804,partial,Australia: Victoria
